#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
C7	CFI	9606.ENSP00000322061	9606.ENSP00000378131	0	0	0	0	0.246	0	0	0.490	0.599
CALD1	COL1A1	9606.ENSP00000354826	9606.ENSP00000225964	0	0	0	0	0.224	0.107	0	0.218	0.412
CALD1	KRT7	9606.ENSP00000354826	9606.ENSP00000329243	0	0	0	0	0.070	0.067	0	0.509	0.537
CALD1	WT1	9606.ENSP00000354826	9606.ENSP00000368370	0	0	0	0	0.055	0.071	0	0.447	0.472
CALD1	KRT19	9606.ENSP00000354826	9606.ENSP00000355124	0	0	0	0	0.073	0.067	0	0.550	0.577
CALD1	TPM2	9606.ENSP00000354826	9606.ENSP00000496494	0	0	0	0	0.193	0	0.500	0.422	0.747
CCDC80	OGN	9606.ENSP00000206423	9606.ENSP00000364711	0	0	0	0	0.247	0.100	0	0.228	0.431
CCDC80	IL18	9606.ENSP00000206423	9606.ENSP00000280357	0	0	0	0	0.058	0	0	0.432	0.442
CCDC80	COL1A1	9606.ENSP00000206423	9606.ENSP00000225964	0	0	0	0	0.366	0.045	0	0.257	0.511
CFB	VTN	9606.ENSP00000416561	9606.ENSP00000226218	0	0	0	0	0.245	0	0	0.452	0.568
CFB	CFI	9606.ENSP00000416561	9606.ENSP00000378131	0	0	0	0	0.220	0	0.500	0.931	0.970
CFI	VTN	9606.ENSP00000378131	9606.ENSP00000226218	0	0	0	0	0.161	0	0	0.434	0.505
CLDN1	CLDN11	9606.ENSP00000295522	9606.ENSP00000064724	0	0	0	0.795	0.044	0	0.650	0.184	0.703
CLDN1	TWIST1	9606.ENSP00000295522	9606.ENSP00000242261	0	0	0	0	0.042	0	0	0.426	0.427
CLDN1	VCAM1	9606.ENSP00000295522	9606.ENSP00000294728	0	0	0	0	0.062	0	0	0.510	0.520
CLDN1	KRT18	9606.ENSP00000295522	9606.ENSP00000373489	0	0	0	0	0.123	0.071	0	0.339	0.415
CLDN1	KRT8	9606.ENSP00000295522	9606.ENSP00000449404	0	0	0	0	0.188	0	0	0.325	0.428
CLDN1	DSP	9606.ENSP00000295522	9606.ENSP00000369129	0	0	0	0	0.151	0	0	0.369	0.442
CLDN1	KRT19	9606.ENSP00000295522	9606.ENSP00000355124	0	0	0	0	0.136	0.071	0	0.561	0.617
COL1A1	TIMP1	9606.ENSP00000225964	9606.ENSP00000218388	0	0	0	0	0.175	0	0	0.817	0.842
COL1A1	ITGB8	9606.ENSP00000225964	9606.ENSP00000222573	0	0	0	0	0	0.045	0.650	0.537	0.832
COL1A1	PRG4	9606.ENSP00000225964	9606.ENSP00000399679	0	0	0	0	0.047	0.050	0	0.398	0.408
COL1A1	VTN	9606.ENSP00000225964	9606.ENSP00000226218	0	0	0	0	0.052	0.050	0	0.409	0.422
COL1A1	KRT18	9606.ENSP00000225964	9606.ENSP00000373489	0	0	0	0	0.088	0.095	0	0.358	0.424
COL1A1	TCF21	9606.ENSP00000225964	9606.ENSP00000356857	0	0	0	0	0.084	0	0	0.397	0.424
COL1A1	VCAM1	9606.ENSP00000225964	9606.ENSP00000294728	0	0	0	0	0.113	0	0	0.396	0.441
COL1A1	SFRP2	9606.ENSP00000225964	9606.ENSP00000274063	0	0	0	0	0.167	0	0	0.405	0.483
COL1A1	CXCL6	9606.ENSP00000225964	9606.ENSP00000226317	0	0	0	0	0.048	0	0	0.481	0.484
COL1A1	TWIST1	9606.ENSP00000225964	9606.ENSP00000242261	0	0	0	0	0.183	0	0	0.423	0.509
COL1A1	TGM2	9606.ENSP00000225964	9606.ENSP00000355330	0	0	0	0	0.085	0.322	0	0.273	0.510
COL1A1	GREM1	9606.ENSP00000225964	9606.ENSP00000498748	0	0	0	0	0.108	0	0	0.476	0.512
COL1A1	KRT19	9606.ENSP00000225964	9606.ENSP00000355124	0	0	0	0	0.101	0.095	0	0.463	0.525
COL1A1	PTN	9606.ENSP00000225964	9606.ENSP00000341170	0	0	0	0	0.098	0	0	0.497	0.527
COL1A1	OGN	9606.ENSP00000225964	9606.ENSP00000364711	0	0	0	0	0.156	0.091	0	0.434	0.528
COL1A1	TPM2	9606.ENSP00000225964	9606.ENSP00000496494	0	0	0	0	0.201	0	0	0.560	0.633
COL1A1	TGFB3	9606.ENSP00000225964	9606.ENSP00000238682	0	0	0	0	0.179	0.067	0	0.663	0.719
COL1A1	SDC4	9606.ENSP00000225964	9606.ENSP00000361818	0	0	0	0	0.083	0	0.650	0.270	0.745
COL1A1	FKBP10	9606.ENSP00000225964	9606.ENSP00000317232	0	0	0	0	0.317	0.100	0	0.707	0.804
COL1A1	THY1	9606.ENSP00000225964	9606.ENSP00000284240	0	0	0	0	0.337	0	0	0.721	0.807
CPXM1	TMEM176B	9606.ENSP00000369979	9606.ENSP00000410269	0	0	0	0	0	0	0	0.432	0.432
CXCL6	IL18	9606.ENSP00000226317	9606.ENSP00000280357	0	0	0	0	0.076	0	0	0.380	0.403
CXCL6	VCAM1	9606.ENSP00000226317	9606.ENSP00000294728	0	0	0	0	0.157	0.114	0	0.301	0.433
DSP	VTN	9606.ENSP00000369129	9606.ENSP00000226218	0	0	0	0	0	0.225	0	0.317	0.448
DSP	TGFB3	9606.ENSP00000369129	9606.ENSP00000238682	0	0	0	0	0	0	0	0.595	0.595
DSP	KRT19	9606.ENSP00000369129	9606.ENSP00000355124	0	0	0	0	0.289	0.497	0	0.589	0.840
DSP	KRT8	9606.ENSP00000369129	9606.ENSP00000449404	0	0	0	0	0.275	0.333	0	0.752	0.869
DSP	KRT18	9606.ENSP00000369129	9606.ENSP00000373489	0	0	0	0	0.334	0.612	0	0.848	0.957
EZR	PDPN	9606.ENSP00000338934	9606.ENSP00000294489	0	0	0	0	0.050	0	0	0.891	0.892
EZR	VCAM1	9606.ENSP00000338934	9606.ENSP00000294728	0	0	0	0	0	0.314	0.900	0.744	0.980
EZR	SDC4	9606.ENSP00000338934	9606.ENSP00000361818	0	0	0	0	0.068	0	0	0.541	0.553
FRAS1	NPNT	9606.ENSP00000422834	9606.ENSP00000389252	0	0	0	0	0.079	0	0.800	0.349	0.869
GAS6	TIMP1	9606.ENSP00000331831	9606.ENSP00000218388	0	0	0	0	0.063	0	0.400	0.185	0.501
GAS6	VTN	9606.ENSP00000331831	9606.ENSP00000226218	0	0	0	0	0	0	0	0.495	0.495
GATA6	KRT18	9606.ENSP00000269216	9606.ENSP00000373489	0	0	0	0	0.117	0.094	0	0.335	0.421
GATA6	WT1	9606.ENSP00000269216	9606.ENSP00000368370	0	0	0	0	0.089	0.091	0	0.375	0.437
GATA6	TCF21	9606.ENSP00000269216	9606.ENSP00000356857	0	0	0	0	0.149	0.064	0	0.351	0.438
GATA6	TBX5	9606.ENSP00000269216	9606.ENSP00000309913	0	0	0	0	0.057	0.068	0	0.755	0.766
HOXC6	HOXC8	9606.ENSP00000243108	9606.ENSP00000040584	0	0	0	0.808	0.792	0	0	0.263	0.840
IFI16	IL18	9606.ENSP00000357113	9606.ENSP00000280357	0	0	0	0	0.042	0	0	0.577	0.577
IL18	TIMP1	9606.ENSP00000280357	9606.ENSP00000218388	0	0	0	0	0.066	0	0	0.471	0.485
IL18	VCAM1	9606.ENSP00000280357	9606.ENSP00000294728	0	0	0	0	0.044	0	0	0.608	0.609
ITGB8	VCAM1	9606.ENSP00000222573	9606.ENSP00000294728	0	0	0	0	0.044	0	0	0.416	0.418
ITGB8	TGFB3	9606.ENSP00000222573	9606.ENSP00000238682	0	0	0	0	0.055	0	0.500	0.628	0.809
ITGB8	VTN	9606.ENSP00000222573	9606.ENSP00000226218	0	0	0	0	0	0	0.900	0.390	0.936
KRT18	TIMP1	9606.ENSP00000373489	9606.ENSP00000218388	0	0	0	0	0.060	0	0	0.564	0.572
KRT18	TWIST1	9606.ENSP00000373489	9606.ENSP00000242261	0	0	0	0	0	0	0	0.428	0.428
KRT18	THY1	9606.ENSP00000373489	9606.ENSP00000284240	0	0	0	0	0.054	0	0	0.505	0.511
KRT18	KRT7	9606.ENSP00000373489	9606.ENSP00000329243	0	0	0	0.747	0.247	0.091	0	0.259	0.449
KRT18	KRT19	9606.ENSP00000373489	9606.ENSP00000355124	0	0	0	0.915	0.475	0.166	0.400	0.761	0.928
KRT18	WT1	9606.ENSP00000373489	9606.ENSP00000368370	0	0	0	0	0	0.095	0	0.609	0.631
KRT18	KRT8	9606.ENSP00000373489	9606.ENSP00000449404	0	0	0	0.768	0.991	0.849	0	0.986	0.999
KRT19	TIMP1	9606.ENSP00000355124	9606.ENSP00000218388	0	0	0	0	0.044	0	0	0.553	0.554
KRT19	TWIST1	9606.ENSP00000355124	9606.ENSP00000242261	0	0	0	0	0	0	0	0.481	0.481
KRT19	THY1	9606.ENSP00000355124	9606.ENSP00000284240	0	0	0	0	0.056	0	0	0.727	0.731
KRT19	KRT7	9606.ENSP00000355124	9606.ENSP00000329243	0	0	0.129	0.736	0.467	0.091	0	0.376	0.701
KRT19	PTN	9606.ENSP00000355124	9606.ENSP00000341170	0	0	0	0	0.042	0	0	0.483	0.483
KRT19	TGM2	9606.ENSP00000355124	9606.ENSP00000355330	0	0	0	0	0.062	0.292	0	0.181	0.409
KRT19	MSLN	9606.ENSP00000355124	9606.ENSP00000372313	0	0	0	0	0.159	0	0	0.351	0.430
KRT19	TPM2	9606.ENSP00000355124	9606.ENSP00000496494	0	0	0	0	0.060	0.045	0	0.523	0.535
KRT19	KRT8	9606.ENSP00000355124	9606.ENSP00000449404	0	0	0	0.762	0.538	0.162	0	0.516	0.796
KRT7	MSLN	9606.ENSP00000329243	9606.ENSP00000372313	0	0	0	0	0.183	0	0	0.360	0.455
KRT7	KRT8	9606.ENSP00000329243	9606.ENSP00000449404	0	0	0.055	0.955	0.342	0	0.400	0.400	0.746
KRT7	WT1	9606.ENSP00000329243	9606.ENSP00000368370	0	0	0	0	0	0.095	0	0.822	0.832
KRT8	PLAT	9606.ENSP00000449404	9606.ENSP00000220809	0	0	0	0	0.044	0.295	0	0.187	0.405
KRT8	TWIST1	9606.ENSP00000449404	9606.ENSP00000242261	0	0	0	0	0.077	0	0	0.446	0.467
KRT8	THY1	9606.ENSP00000449404	9606.ENSP00000284240	0	0	0	0	0	0	0	0.401	0.401
KRT8	TGM2	9606.ENSP00000449404	9606.ENSP00000355330	0	0	0	0	0.049	0.095	0	0.555	0.583
KRT8	WT1	9606.ENSP00000449404	9606.ENSP00000368370	0	0	0	0	0	0.050	0	0.418	0.423
MSLN	THY1	9606.ENSP00000372313	9606.ENSP00000284240	0	0	0	0	0	0	0	0.543	0.543
MSLN	PDPN	9606.ENSP00000372313	9606.ENSP00000294489	0	0	0	0	0	0	0	0.448	0.448
MSLN	WT1	9606.ENSP00000372313	9606.ENSP00000368370	0	0	0	0	0.079	0	0	0.639	0.653
NR2F1	PTN	9606.ENSP00000325819	9606.ENSP00000341170	0	0	0	0	0.128	0	0	0.421	0.473
OGN	PTN	9606.ENSP00000364711	9606.ENSP00000341170	0	0	0	0	0.150	0.052	0	0.409	0.483
PDLIM3	TPM2	9606.ENSP00000284767	9606.ENSP00000496494	0	0	0	0	0.165	0.069	0	0.340	0.442
PDPN	TIMP1	9606.ENSP00000294489	9606.ENSP00000218388	0	0	0	0	0.151	0	0	0.434	0.498
PDPN	THY1	9606.ENSP00000294489	9606.ENSP00000284240	0	0	0	0	0.084	0	0	0.508	0.530
PDPN	VCAM1	9606.ENSP00000294489	9606.ENSP00000294728	0	0	0	0	0.058	0	0	0.477	0.486
PDPN	WT1	9606.ENSP00000294489	9606.ENSP00000368370	0	0	0	0	0.061	0.041	0	0.506	0.516
PLAAT4	RARRES1	9606.ENSP00000255688	9606.ENSP00000237696	0	0	0	0	0.083	0	0	0.415	0.440
PLAAT4	TGM2	9606.ENSP00000255688	9606.ENSP00000355330	0	0	0	0	0.067	0	0	0.431	0.446
PLAT	TIMP1	9606.ENSP00000220809	9606.ENSP00000218388	0	0	0	0	0.142	0	0	0.511	0.562
PLAT	TFPI2	9606.ENSP00000220809	9606.ENSP00000222543	0	0	0	0	0.184	0.121	0	0.394	0.528
PLAT	VCAM1	9606.ENSP00000220809	9606.ENSP00000294728	0	0	0	0	0.072	0.125	0	0.724	0.756
PLAT	VTN	9606.ENSP00000220809	9606.ENSP00000226218	0	0	0	0	0.055	0	0.540	0.749	0.881
PTN	SDC4	9606.ENSP00000341170	9606.ENSP00000361818	0	0	0	0	0	0	0	0.698	0.698
SDC4	VTN	9606.ENSP00000361818	9606.ENSP00000226218	0	0	0	0	0	0	0.500	0.673	0.829
SDC4	THY1	9606.ENSP00000361818	9606.ENSP00000284240	0	0	0	0	0	0	0	0.936	0.936
SDC4	TGM2	9606.ENSP00000361818	9606.ENSP00000355330	0	0	0	0	0.102	0	0	0.650	0.672
SFRP2	TFPI2	9606.ENSP00000274063	9606.ENSP00000222543	0	0	0	0	0	0	0	0.479	0.479
SFRP2	TWIST1	9606.ENSP00000274063	9606.ENSP00000242261	0	0	0	0	0.103	0	0	0.513	0.544
TBX5	WT1	9606.ENSP00000309913	9606.ENSP00000368370	0	0	0	0	0.044	0.054	0	0.398	0.408
TBX5	TCF21	9606.ENSP00000309913	9606.ENSP00000356857	0	0	0	0	0.087	0.066	0	0.481	0.519
TCF21	WT1	9606.ENSP00000356857	9606.ENSP00000368370	0	0	0	0	0.106	0.070	0	0.722	0.748
TGFB3	TIMP1	9606.ENSP00000238682	9606.ENSP00000218388	0	0	0	0	0.120	0.053	0	0.516	0.561
TGFB3	TWIST1	9606.ENSP00000238682	9606.ENSP00000242261	0	0	0	0	0.080	0	0	0.411	0.435
TGFB3	THY1	9606.ENSP00000238682	9606.ENSP00000284240	0	0	0	0	0.067	0	0	0.570	0.581
TGM2	VTN	9606.ENSP00000355330	9606.ENSP00000226218	0	0	0	0	0.065	0	0	0.417	0.432
THY1	TIMP1	9606.ENSP00000284240	9606.ENSP00000218388	0	0	0	0	0.062	0	0	0.624	0.632
THY1	VCAM1	9606.ENSP00000284240	9606.ENSP00000294728	0	0	0	0	0.081	0	0	0.716	0.727
TIMP1	VTN	9606.ENSP00000218388	9606.ENSP00000226218	0	0	0	0	0	0.160	0	0.449	0.517
TIMP1	VCAM1	9606.ENSP00000218388	9606.ENSP00000294728	0	0	0	0	0.056	0	0	0.571	0.577
VCAM1	VTN	9606.ENSP00000294728	9606.ENSP00000226218	0	0	0	0	0.043	0.045	0	0.645	0.647
